,Neighbourhood,ADMIN_LEVE,geometry,Lon,Lat
39,Csepel-Erdőalja,10,POINT (19.06971231570704 47.4197919604896),19.06971231570704,47.4197919604896
40,Csepel-Belváros,10,POINT (19.07000055192215 47.42877856649422),19.070000551922153,47.42877856649422
41,Csepel-Ófalu,10,POINT (19.06104056290289 47.4385799630232),19.06104056290289,47.4385799630232
42,Albertfalva,10,POINT (19.04151033111035 47.44278857912479),19.041510331110352,47.44278857912479
43,Csepel-Szigetcsúcs,10,POINT (19.06982172451405 47.44961280838491),19.069821724514053,47.44961280838491
44,Millenniumtelep,10,POINT (19.10792250030198 47.37792877195402),19.107922500301978,47.377928771954025
45,Csepel-Királyerdő,10,POINT (19.09364807845373 47.40420279855634),19.09364807845373,47.40420279855634
46,Csepel-Erdősor,10,POINT (19.07494774540946 47.40745188272504),19.07494774540946,47.40745188272504
47,Soroksár,10,POINT (19.14486080079616 47.38826574438073),19.144860800796156,47.38826574438073
48,Soroksár-Újtelep,10,POINT (19.13067091687988 47.41697906308371),19.130670916879875,47.41697906308371
49,Csepel-Kertváros,10,POINT (19.08321121310609 47.42170517840123),19.083211213106093,47.421705178401226
50,Csepel-Királymajor,10,POINT (19.08868522255387 47.42503176333955),19.088685222553874,47.42503176333955
51,Csepel-Szabótelep,10,POINT (19.08091575878531 47.43388088296231),19.080915758785313,47.43388088296231
52,Gubacs,10,POINT (19.09450554146569 47.43328036495492),19.09450554146569,47.43328036495492
53,Külső-Ferencváros,10,POINT (19.09278637585769 47.45862597409325),19.092786375857692,47.45862597409325
54,Erzsébetfalva,10,POINT (19.1090801853269 47.44146532547595),19.109080185326903,47.44146532547595
55,Pacsirtatelep,10,POINT (19.11696318579888 47.42465205584603),19.116963185798884,47.42465205584603
56,Kossuthfalva,10,POINT (19.12053124430213 47.43753867380932),19.12053124430213,47.43753867380932
57,Gubacsipuszta,10,POINT (19.13987961042087 47.42886115423884),19.13987961042087,47.42886115423884
58,Szabótelep,10,POINT (19.12782447394056 47.44230851032046),19.12782447394056,47.44230851032046
59,Wekerletelep,10,POINT (19.1261380298858 47.45547747718876),19.1261380298858,47.45547747718876
60,Kispest,10,POINT (19.14788962974052 47.44796995673241),19.14788962974052,47.44796995673241
61,Belsőmajor,10,POINT (19.19132745177555 47.39519277738671),19.19132745177555,47.39519277738671
62,Kossuth Ferenc-telep,10,POINT (19.17579743543884 47.40554542383546),19.17579743543884,47.405545423835456
63,Újpéteritelep,10,POINT (19.19120476339462 47.4085684190551),19.19120476339462,47.4085684190551
64,Erdőskert,10,POINT (19.20431476170353 47.39879204045788),19.20431476170353,47.39879204045788
65,Krepuska Géza-telep,10,POINT (19.20525398290227 47.41256879351536),19.205253982902274,47.41256879351536
66,Almáskert,10,POINT (19.21517391330049 47.40757237909994),19.21517391330049,47.40757237909994
67,Gloriett telep,10,POINT (19.18116754096295 47.42896047526958),19.181167540962953,47.428960475269584
68,Szent Lőrinc-lakótelep,10,POINT (19.17205627069142 47.43465801603181),19.172056270691424,47.43465801603181
